Participant Public ID,Sex,Sex-quantised,Age,IMD Score,Crime Rank,CFC Q1,CFC Q1-quantised,CFC Q2,CFC Q2-quantised,CFC Q3,CFC Q3-quantised,Q3 Reversed,CFC Q4,CFC Q4-quantised,Q4 Reversed,CFC Q5,CFC Q5-quantised,Q5 Reversed,CFC Q6,CFC Q6-quantised,CFC Q7,CFC Q7-quantised,CFC Q8,CFC Q8-quantised,CFC Q9,CFC Q9-quantised,Q9 Reversed,CFC Q10,CFC Q10-quantised,Q10 Reversed,CFC Q11,CFC Q11-quantised,Q11 Reversed,CFC Q12,CFC Q12-quantised,Q12 Reversed,CFC Mean Score,PGG Round 1,PGG Round 2,PGG Round 3,PGG Round 4,PGG Round 5,PGG Mean Contribution
4261,Female,2,20,4315,1715,5,5,4,4,4,4,2,4,4,2,4,4,2,5,5,4,4,3,3,2,2,4,2,2,4,3,3,3,4,4,2,3.333333333,5,8,8,9,9,7.8
4245,Female,2,21,12020,5131,4,4,2,2,4,4,2,4,4,2,4,4,2,4,4,2,2,2,2,4,4,2,4,4,2,4,4,2,4,4,2,2.333333333,10,10,10,10,10,10
4175,Female,2,20,22521,14913,4,4,3,3,4,4,2,3,3,3,4,4,2,5,5,4,4,5,5,4,4,2,2,2,4,2,2,4,3,3,3,3.416666667,10,2,10,10,5,7.4
4364,Male,1,22,,,4,4,3,3,3,3,3,2,2,4,4,4,2,5,5,5,5,4,4,1,1,5,1,1,5,2,2,4,2,2,4,4,0,0,0,0,0,0
4174,Male,1,20,6098,9002,4,4,4,4,4,4,2,3,3,3,2,2,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,2,3,3,3,3.5,10,2,8,10,10,8
4093,Female,2,21,2954,3617,5,5,4,4,4,4,2,3,3,3,4,4,2,5,5,4,4,4,4,5,5,1,5,5,1,4,4,2,5,5,1,2.833333333,10,2,5,10,7,6.8
4248,Female,2,23,9085,14362,4,4,2,2,4,4,2,2,2,4,4,4,2,3,3,5,5,2,2,2,2,4,2,2,4,4,4,2,5,5,1,2.916666667,8,9,10,10,8,9
4103,Female,2,18,15589,17009,4,4,3,3,4,4,2,4,4,2,3,3,3,2,2,4,4,3,3,4,4,2,2,2,4,4,4,2,4,4,2,2.75,5,6,10,5,10,7.2
4240,Female,2,19,19372,23163,5,5,5,5,2,2,4,1,1,5,4,4,2,2,2,5,5,4,4,1,1,5,5,5,1,1,1,5,1,1,5,4,5,5,5,3,6,4.8
4233,Female,2,21,3826,4658,3,3,4,4,3,3,3,4,4,2,4,4,2,2,2,2,2,2,2,2,2,4,4,4,2,4,4,2,3,3,3,2.583333333,2,5,3,1,1,2.4
